Categories                      ,Product Code,JAN Code     ,Manufacturers               ,Product Name                                                                                                                                ,Product status     ,In-stock Date,Release Date  ,Pre-order Deadline,Number of Pieces                      ,Order Unit,Retail Price,Wholesale Price,URL
Otaku Goods                     ,895893      ,4589901895893,Coade                       ,Mini Nui Pouch Black S Size                                                                                                                 ,Pre-order          ,             ,Within 2022/7 ,2022-07-10        ,                                      ,2         ,1200        ,900            ,https://b2b.mile-stone.jp/en/products/000895893
Otaku Goods                     ,895909      ,4589901895909,Coade                       ,Mini Nui Pouch Black L Size                                                                                                                 ,Pre-order          ,             ,Within 2022/7 ,2022-07-10        ,                                      ,2         ,1400        ,1050           ,https://b2b.mile-stone.jp/en/products/000895909
Otaku Goods                     ,893011      ,4589901893011,Coade                       ,Mini Nui Pouch White L Size                                                                                                                 ,Pre-order          ,             ,Within 2022/7 ,2022-07-10        ,                                      ,2         ,1400        ,1050           ,https://b2b.mile-stone.jp/en/products/000893011
Otaku Goods                     ,893080      ,4589901893080,Coade                       ,Mini Nui Pouch White S Size                                                                                                                 ,Pre-order          ,             ,Within 2022/7 ,2022-07-10        ,                                      ,2         ,1200        ,900            ,https://b2b.mile-stone.jp/en/products/000893080
Stationery                      ,268527      ,4580724268529,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 01 Ishigami Senku"                                                                                    ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268527
Stationery                      ,268535      ,4580724268536,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 02 Nanami Ryusui"                                                                                     ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268535
Stationery                      ,268542      ,4580724268543,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 03 Kohaku"                                                                                            ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268542
Stationery                      ,268552      ,4580724268550,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 04 Chrome"                                                                                            ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268552
Stationery                      ,268566      ,4580724268567,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 05 Asagiri Gen"                                                                                       ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268566
Stationery                      ,268573      ,4580724268574,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 06 Shishio Tsukasa"                                                                                   ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268573
Stationery                      ,268580      ,4580724268581,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 07 Hyoga"                                                                                             ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268580
Stationery                      ,268595      ,4580724268598,CS.FRONT                    ,"""Dr. Stone"" 3 Way Chara Memo Board 08 Saionji Ukyo"                                                                                      ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1000        ,750            ,https://b2b.mile-stone.jp/en/products/000268595
Keyholder・Stand                 ,268602      ,4580724268604,CS.FRONT                    ,"""Dr. Stone"" LED Big Acrylic Stand 04 Ryusui"                                                                                             ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,1         ,2700        ,1890           ,https://b2b.mile-stone.jp/en/products/000268602
Hug Pillow・Interior Goods       ,268610      ,4580724268611,CS.FRONT                    ,"""Dr. Stone"" Acrylic Board 05 Ryusui"                                                                                                     ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,1         ,2000        ,1400           ,https://b2b.mile-stone.jp/en/products/000268610
Collectibles Miscellaneous Goods,268622      ,4580724268628,CS.FRONT                    ,"""Dr. Stone"" Satin Fabric Sticker 01 Vol. 1"                                                                                              ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,8 packsbox = 8 packs                  ,8         ,400         ,280            ,https://b2b.mile-stone.jp/en/products/000268622
Collectibles Miscellaneous Goods,268634      ,4580724268635,CS.FRONT                    ,"""Dr. Stone"" Metallic Can Badge 02 Vol. 2"                                                                                                ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,8 packsbox = 8 packs                  ,8         ,600         ,420            ,https://b2b.mile-stone.jp/en/products/000268634
Keyholder・Stand                 ,268641      ,4580724268642,CS.FRONT                    ,"""Dr. Stone"" Leather Key Chain 05 Nanami Ryusui"                                                                                          ,Pre-order          ,             ,Within 2022/8 ,2022-07-20        ,                                      ,2         ,1200        ,840            ,https://b2b.mile-stone.jp/en/products/000268641
Collectibles Miscellaneous Goods,445778      ,4934054045778,Kotobukiya                  ,"Fukubuku Collection ""New The Prince of Tennis"" Trading Mascot Vol. 1"                                                                    ,Pre-order          ,             ,Within 2023/3 ,2022-08-31        ,48 piecescarton = 6 box × 8 pieces    ,8         ,888         ,622            ,https://b2b.mile-stone.jp/en/products/000445778
Collectibles Miscellaneous Goods,345785      ,4934054045785,Kotobukiya                  ,"Fukubuku Collection ""New The Prince of Tennis"" Trading Mascot Vol. 2"                                                                    ,Pre-order          ,             ,Within 2023/3 ,2022-08-31        ,48 piecescarton = 6 box × 8 pieces    ,8         ,888         ,622            ,https://b2b.mile-stone.jp/en/products/000345785
Figure・Doll                     ,162545      ,4580590162549,Good Smile Company          ,Harmonia humming Special Outfit Series Flower Print Dress Pink Designed by SILVER BUTTERFLY                                                 ,Tentative Pre-order,             ,Within 2022/11,2022-08-14        ,4 setcarton = 4 set                   ,1         ,9091        ,6818           ,https://b2b.mile-stone.jp/en/products/000162545
Figure・Doll                     ,162553      ,4580590162556,Good Smile Company          ,Harmonia humming Special Outfit Series Flower Print Dress Blue Designed by SILVER BUTTERFLY                                                 ,Tentative Pre-order,             ,Within 2022/11,2022-08-14        ,4 setcarton = 4 set                   ,1         ,9091        ,6818           ,https://b2b.mile-stone.jp/en/products/000162553
