"Maker ID","Maker name"
256       ,"Toei Animation"
199       ,Tokimeki.com
200       ,Tokuma
387       ,"Tokyo Toys"
559       ,TOKYOGETS
201       ,Tomitech
331       ,Tomy
745       ,Tomytec
742       ,TomyTec
737       ,"Toshin Pack"
202       ,Toys
528       ,"Toys Cabin"
400       ,"Toys Comic"
203       ,"Toys Dream Project"
204       ,"Toys Planning"
205       ,"Toys Works"
403       ,Toys-Alliance
515       ,TOYSCOMIC
416       ,TOYSEIIKI
417       ,Toytec
366       ,"Tsukuru no Mori"
334       ,"Tsume Art"
575       ,TwinCre
592       ,Twinkle
603       ,"TWO VIRGINS"
254       ,UART
206       ,Ubisoft
554       ,ufotable
553       ,UNDERVERSE
207       ,Unifive
268       ,"Union Creative"
412       ,"Unique Art Studio"
627       ,"UNKNOWN MODEL"
722       ,"UNKNOWN MODEL"
486       ,UnknownModel
585       ,UpFields
208       ,upLark
293       ,Vertex
728       ,Vibrastar
209       ,"Vivendi Universal Games"
764       ,VTOYS×BMS
210       ,"Wafudo Ganguten"
252       ,Wakamatsuya
408       ,Wanderer
604       ,"Wani Books"
212       ,"Wave Corporation"
283       ,"West Kenji"
540       ,Willplus
285       ,Wing
445       ,Wings
567       ,"WINGS inc."
527       ,"Wizards of the Coast"
404       ,"Wonderful Works"
352       ,"World Box"
213       ,"World Photo Press"
349       ,"World Scope"
538       ,WWP
237       ,"X PLUS"
730       ,XEBEC
556       ,XIAOT
597       ,"Y Line"
214       ,Yamanaya
215       ,Yamato
381       ,Yanoman
487       ,Yell
584       ,"Yomiuri-TV Enterprise"
223       ,YouArt
216       ,Yujin
217       ,Yukes
218       ,"Zakka Pap"
219       ,ZCgirl
220       ,Zeem
740       ,"ZEN Of Collectible"
221       ,Zenon
620       ,"Zero-G Act"
222       ,"Zigz Toy"
